Operator,Variant,BatchSize,Latency(ms),Throughput(GFLOPS),Speedup
GEMM,CuTe,256,0.025306,1325.97,0.380
GEMM,CUDA,256,0.065394,513.11,0.147
GEMM,cuBLAS,256,0.009604,3493.86,1.000
GEMM,CuTe,512,0.043341,6193.60,0.442
GEMM,CUDA,512,0.118475,2265.76,0.162
GEMM,cuBLAS,512,0.019171,14002.25,1.000
GEMM,CuTe,1024,0.154536,13896.36,0.492
GEMM,CUDA,1024,0.225206,9535.64,0.337
GEMM,cuBLAS,1024,0.075991,28259.70,1.000
GEMM,CuTe,2048,0.876544,19599.54,0.593
GEMM,CUDA,2048,1.245578,13792.69,0.417
GEMM,cuBLAS,2048,0.519838,33048.50,1.000
GEMM,CuTe,4096,6.664664,20622.04,0.581
GEMM,CUDA,4096,6.994587,19649.33,0.554
GEMM,cuBLAS,4096,3.872062,35495.02,1.000
